# timestamps [seconds],pts
750444.610248,254893
750444.629370,256146
750444.648765,257417
750444.669579,258781
750444.688541,260024
750444.705908,261162
750444.723837,262337
750444.742308,263547
750444.761129,264781
750444.777876,265878
750444.788949,266604
750444.805922,267716
750444.824084,268907
750444.840986,270014
750444.860465,271291
750444.872957,272110
750444.889086,273167
750444.904784,274195
750444.924917,275515
750444.940958,276566
750444.957035,277620
750444.975253,278814
750444.988914,279709
750445.006477,280860
750445.024963,282071
750445.041201,283135
750445.056777,284156
750445.072969,285217
750445.089454,286298
750445.109147,287588
750445.125583,288665
750445.141200,289689
750445.159016,290856
750445.175108,291911
750445.194246,293165
750445.210689,294243
750445.228169,295388
750445.244444,296455
750445.256884,297270
750445.276947,298585
750445.292944,299633
750445.309007,300686
750445.328142,301940
750445.345383,303070
750445.356972,303829
750445.377044,305145
750445.394078,306261
750445.410143,307314
750445.424890,308280
750445.442097,309408
750445.461572,310684
750445.478441,311790
750445.493047,312747
750445.509252,313809
750445.527462,315003
750445.545471,316183
750445.560888,317193
750445.578531,318349
750445.593548,319333
750445.610286,320430
750445.625018,321396
750445.644859,322696
750445.661365,323778
750445.679138,324943
750445.693064,325855
750445.709211,326913
750445.729163,328221
750445.745464,329289
750445.762270,330391
750445.776913,331350
750445.793247,332421
750445.812947,333712
750445.830583,334868
750445.848222,336024
750445.865611,337163
750445.882657,338280
750445.899924,339412
750445.912934,340264
750445.929799,341370
750445.948320,342583
750445.965305,343697
750445.982710,344837
750445.999396,345931
750446.015986,347018
750446.028992,347870
750446.045364,348943
750446.064020,350166
750446.081739,351327
750446.098875,352450
750446.112809,353363
750446.129138,354433
750446.147660,355647
750446.165017,356785
750446.181851,357888
750446.197004,358881
750446.213274,359947
750446.229101,360984
750446.245331,362048
750446.265508,363370
750446.283004,364517
750446.299970,365629
750446.312910,366477
750446.329458,367561
750446.348994,368842
750446.365947,369953
750446.380888,370932
750446.397534,372023
750446.413734,373084
750446.433337,374369
750446.451427,375555
750446.464925,376439
750446.481292,377512
750446.498283,378625
750446.513084,379595
750446.533084,380906
750446.550304,382034
750446.568039,383197
750446.580976,384045
750446.597410,385122
750446.617036,386408
750446.636475,387682
750446.652652,388742
750446.664967,389549
750446.681371,390624
750446.718968,393088
750446.741073,394537
750446.760438,395806
750446.778087,396962
750446.785356,397439
750446.801636,398506
750446.819625,399684
750446.837198,400836
750446.848948,401606
750446.865035,402660
750446.884937,403965
750446.902686,405128
750446.917125,406074
750446.933649,407157
750446.950411,408255
750446.968849,409464
750446.985207,410536
750447.002319,411657
750447.017437,412648
750447.033157,413678
750447.053402,415005
750447.072674,416268
750447.093846,417655
750447.112216,418859
750447.129475,419990
750447.146851,421129
750447.163666,422231
750447.180566,423339
750447.198129,424490
750447.204639,424916
750447.217923,425787
750447.238675,427147
750447.257979,428412
750447.275773,429578
750447.294193,430785
750447.313332,432040
750447.329878,433124
750447.337088,433596
750447.354268,434722
750447.371116,435826
750447.387375,436892
750447.404378,438006
750447.423188,439239
750447.441893,440465
750447.461526,441751
750447.479910,442956
750447.497616,444117
750447.514560,445227
750447.533203,446449
750447.551142,447624
750447.571066,448930
750447.589070,450110
