# timestamps [seconds],pts
753210.282147,143819
753210.299472,144954
753210.317667,146147
753210.335770,147333
753210.353157,148473
753210.370103,149583
753210.381835,150352
753210.401918,151668
753210.418907,152782
753210.436403,153928
753210.450266,154837
753210.466204,155881
753210.483775,157033
753210.501760,158211
753210.519330,159363
753210.533951,160321
753210.550003,161373
753210.565787,162407
753210.585617,163707
753210.602003,164781
753210.617959,165826
753210.636641,167051
753210.658110,168458
753210.675028,169566
753210.685845,170275
753210.701986,171333
753210.718625,172424
753210.737180,173640
753210.753915,174736
753210.772384,175947
753210.788781,177021
753210.801609,177862
753210.818049,178939
753210.834722,180032
753210.853574,181267
753210.871373,182434
753210.885852,183383
753210.901591,184414
753210.919536,185590
753210.937830,186789
753210.955363,187938
753210.969863,188888
753210.986079,189951
753211.004812,191179
753211.023624,192412
753211.037870,193345
753211.055239,194484
753211.074385,195738
753211.092018,196894
753211.101858,197539
753211.121818,198847
753211.141328,200125
753211.158405,201245
753211.170034,202007
753211.186065,203057
753211.205959,204361
753211.223937,205539
753211.239927,206587
753211.287821,209726
753211.314941,211503
753211.332345,212644
753211.338519,213048
753211.354124,214071
753211.369913,215106
753211.389872,216414
753211.410740,217781
753211.421840,218509
753211.438377,219593
753211.453835,220606
753211.473983,221926
753211.491902,223100
753211.509220,224235
753211.521935,225069
753211.538920,226182
753211.557980,227431
753211.574935,228542
753211.592087,229666
753211.605931,230573
753211.622626,231667
753211.639226,232755
753211.657833,233975
753211.676026,235167
753211.693091,236285
753211.706014,237132
753211.722005,238180
753211.742050,239494
753211.759064,240609
753211.775891,241712
753211.789872,242628
753211.805777,243670
753211.825988,244995
753211.844381,246200
753211.857839,247082
753211.874571,248179
753211.892126,249329
753211.909893,250493
753211.927892,251673
753211.944578,252766
753211.958014,253647
753211.973876,254686
753211.990523,255777
753212.009944,257050
753212.025963,258100
753212.045895,259406
753212.062519,260496
753212.073983,261247
753212.094299,262578
753212.111263,263690
753212.125904,264650
753212.142194,265717
753212.159251,266835
753212.177970,268062
753212.193874,269104
753212.210096,270167
753212.226962,271272
753212.244837,272444
753212.262728,273616
753212.279520,274717
753212.294071,275670
753212.311169,276791
753212.328829,277948
753212.346178,279085
753212.362214,280136
753212.377716,281152
753212.393906,282213
753212.410342,283290
753212.428146,284457
753212.445764,285612
753212.462203,286689
753212.478334,287746
753212.493932,288768
753212.510261,289838
753212.527056,290939
753212.546056,292184
753212.564536,293395
753212.582803,294592
753212.594248,295343
753212.610081,296380
753212.629939,297682
753212.648199,298878
753212.665294,299999
753212.682179,301105
753212.694078,301885
753212.714285,303209
753212.729870,304231
753212.745836,305277
753212.762695,306382
753212.777995,307384
753212.798121,308703
753212.814454,309774
753212.829941,310789
753212.846321,311862
753212.862555,312926
753212.878031,313940
753212.897921,315244
753212.914219,316312
753212.930383,317371
753212.945873,318386
753212.962588,319482
753212.981830,320743
753212.999781,321919
753213.016386,323007
753213.033256,324113
753213.046235,324964
753213.066047,326262
753213.082523,327342
753213.097952,328353
753213.114445,329434
753213.132309,330604
753213.148404,331659
753213.166154,332822
753213.181825,333849
753213.198353,334933
753213.214320,335979
753213.232159,337148
753213.249883,338310
753213.265966,339364
753213.281911,340409
753213.299430,341557
753213.316370,342667
753213.333955,343819
753213.350066,344875
753213.366132,345928
753213.381716,346949
753213.397906,348010
753213.414744,349114
753213.433790,350362
753213.450623,351465
753213.465974,352471
753213.483637,353629
753213.500997,354766
753213.518244,355897
753213.533713,356910
753213.553069,358179
753213.572719,359467
753213.591641,360707
753213.610304,361930
753213.629141,363164
753213.648003,364400
753213.665316,365535
753213.683974,366758
753213.702506,367972
753213.720905,369178
753213.733912,370030
753213.751524,371185
753213.767723,372246
753213.785791,373430
753213.802708,374539
753213.818028,375543
753213.835268,376673
753213.851794,377756
753213.869998,378949
753213.887937,380124
753213.904402,381203
753213.922386,382382
753213.940321,383557
753213.957065,384655
753213.969890,385495
753214.010894,388182
753214.035314,389783
753214.053956,391005
753214.070810,392109
753214.088393,393261
753214.104711,394331
753214.123304,395549
753214.140847,396699
753214.155512,397660
753214.172396,398766
753214.191718,400033
753214.210131,401239
753214.228559,402447
753214.248798,403773
753214.268040,405035
753214.287801,406330
753214.306553,407558
753214.405536,414045
753214.424092,415261
753214.443312,416521
753214.463777,417862
753214.483193,419135
753214.502475,420398
753214.521123,421620
753214.527802,422058
753214.542300,423008
753214.559110,424110
753214.576897,425275
753214.594806,426449
753214.606074,427188
753214.622186,428243
753214.638262,429297
753214.657263,430542
753214.675441,431734
753214.696215,433095
753214.714612,434301
753214.732376,435465
753214.750911,436679
753214.767560,437771
753214.786798,439031
753214.804201,440172
753214.810911,440612
753214.826220,441615
753214.844409,442807
753214.858189,443710
753214.877092,444949
753214.898533,446354
753214.914315,447388
753214.933287,448631
753214.952524,449892
753214.971310,451123
753214.988722,452264
753214.997839,452862
753215.012343,453812
753215.026005,454708
753215.043069,455826
753215.058004,456805
753215.075204,457932
753215.089880,458894
753215.110292,460231
753215.127345,461349
753215.142026,462311
753215.158066,463362
753215.175825,464526
753215.194110,465725
753215.212369,466921
753215.230033,468079
753215.242002,468863
753215.268362,470591
753215.296209,472416
753215.315438,473676
753215.336631,475065
753215.358171,476476
753215.378452,477805
753215.397647,479063
753215.420875,480586
753215.441716,481951
753215.461410,483242
753215.485014,484789
753215.510690,486472
753215.531422,487830
753215.551068,489118
753215.570894,490417
753215.590636,491711
753215.600860,492381
753215.620398,493661
753215.645267,495291
753215.654513,495897
753215.670982,496976
753215.680981,497632
753215.697025,498683
753215.717280,500010
753215.738470,501399
753215.750356,502178
753215.766789,503255
753215.788091,504651
753215.797294,505254
753215.815125,506423
753215.842653,508227
753215.867142,509832
753215.888774,511249
753215.914949,512965
753215.930371,513975
753215.948328,515152
753215.970218,516587
753215.993035,518082
753216.016937,519648
753216.041441,521254
753216.053007,522012
753216.070383,523151
753216.091334,524524
753216.117426,526234
753216.130147,527068
753216.148194,528250
753216.162031,529157
753216.182008,530466
753216.198026,531516
753216.216499,532727
753216.230260,533629
753216.251519,535022
753216.272030,536366
753216.295750,537920
753216.318901,539438
753216.340356,540844
753216.360486,542163
753216.381072,543512
753216.392375,544253
753216.399259,544704
753216.414813,545723
753216.430272,546736
753216.451316,548115
753216.475532,549702
753216.501632,551413
753216.524089,552885
753216.537072,553736
753216.550593,554622
753216.571252,555976
753216.596869,557654
753216.620601,559210
753216.635017,560154
753216.652798,561320
753216.675495,562807
753216.686089,563501
753216.704472,564706
753216.724193,565998
753216.747577,567531
753216.757643,568191
753216.774219,569277
753216.794170,570584
753216.804527,571263
753216.818063,572150
753216.837436,573420
753216.863192,575108
753216.875316,575902
753216.891996,576995
753216.920323,578852
753216.948450,580695
753216.969309,582062
753216.991439,583512
753217.010572,584766
753217.032207,586184
753217.054062,587616
753217.076207,589068
753217.096520,590399
753217.116795,591728
753217.136496,593019
753217.156515,594331
753217.179388,595830
753217.203031,597379
753217.224323,598775
753217.249966,600455
753217.277306,602247
753217.297828,603592
753217.319536,605014
753217.341285,606440
753217.364744,607977
753217.386646,609412
753217.406789,610732
753217.431065,612323
753217.451778,613681
753217.472946,615068
753217.498991,616775
753217.519946,618148
753217.541766,619578
753217.565672,621145
753217.584636,622388
753217.611969,624179
753217.635048,625691
753217.656832,627119
753217.680402,628664
753217.703066,630149
753217.724149,631531
753217.746468,632993
753217.771739,634649
753217.796989,636304
753217.822843,637999
753217.845976,639515
753217.867022,640894
753217.888411,642296
753217.908329,643601
753217.929591,644994
753217.949347,646289
753217.970390,647668
753217.988453,648852
753218.009296,650218
753218.030080,651580
753218.049497,652852
753218.102627,656334
753218.133539,658360
753218.153313,659656
753218.173265,660963
753218.196960,662516
753218.216755,663814
753218.237793,665192
753218.259571,666619
753218.282916,668149
753218.306946,669724
753218.330420,671263
753218.352651,672719
753218.373711,674100
753218.398771,675742
753218.419640,677110
753218.443654,678683
753218.460082,679760
753218.479250,681016
753218.498522,682279
753218.516047,683428
753218.534948,684666
753218.555280,685999
753218.573261,687177
753218.591302,688359
753218.610486,689617
753218.628636,690806
753218.652155,692347
753218.675783,693896
753218.700023,695485
753218.723165,697001
753218.743411,698328
753218.766369,699832
753218.787806,701237
753218.810984,702756
753218.832404,704160
753218.852185,705456
753218.872596,706794
753218.890567,707972
753218.917415,709731
753218.939263,711163
753218.965575,712887
753218.985270,714178
753218.994495,714783
753219.014054,716065
753219.035890,717496
753219.050092,718426
753219.067066,719539
753219.079117,720328
753219.094100,721310
753219.114527,722649
753219.130373,723687
753219.150081,724979
753219.162066,725764
753219.180074,726945
753219.198107,728126
753219.217817,729418
753219.239670,730850
753219.261205,732262
753219.282643,733667
753219.304707,735112
753219.318383,736009
753219.336453,737193
753219.357748,738589
753219.377662,739894
753219.399146,741302
753219.415763,742391
753219.466630,745724
753219.501335,747998
753219.524144,749493
753219.533979,750138
753219.551078,751258
753219.570283,752517
753219.589274,753762
753219.611350,755208
753219.632565,756599
753219.654300,758023
