id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,753889.899676,0.2713209999492392,753890.170997,42,49,57,0.5841387559082649,0.5485443468232611 0.5990493973283116 0.6495544478333622 0.7000594983384126 0.7456634545753965 0.746168505080447 0.798086715485739 0.8056842426043832 0.8049493444273229 0.7931813169194253 0.7801985703520365 0.7315891766113651 0.6332215391552997 0.5388751531416907 0.5199242688001745 0.4199713976509379 0.31896129664083694 0.21795119563073595 0.11694109462063497 0.0165283525646072 -0.08064516001942419 -0.17676343859509017 -0.27777353960519124 -0.3787836406152922 -0.47979374162539334 -0.5808038426354943 -0.6793589878750835 -0.6803690888851844 -0.7813791898952853 -0.796574244132574 -0.7997578094890888 -0.7946313714927157 -0.7881399982090211 -0.7612637763429395 -0.7144161451100325 -0.6760276622600251 -0.665704253707269 -0.6173136629239475 -0.5668086124188972,753889.899676 753889.902296 753889.910621 753889.9192819999 753889.924299 753889.929201 753889.934467 753889.942986 753889.9508989999 753889.952855 753889.961359 753889.965061 753889.980111 753889.982201 753889.995217 753889.996914 753890.0121159999 753890.013509 753890.026 753890.0281679999 753890.0401 753890.04198 753890.059545 753890.059858 753890.0771229999 753890.079673 753890.094845 753890.099583 753890.105875 753890.11826 753890.118919 753890.128055 753890.1308779999 753890.140025 753890.143214 753890.149307 753890.151872 753890.161385 753890.1641299999
2,753890.291359,0.5530139999464154,753890.844373,64,80,96,0.4749186359863258,0.5030384622200548 0.5535435127251053 0.6046459221842291 0.6445356323023012 0.6999325052417867 0.7504375557468371 0.8009426062518877 0.8514476567569382 0.9019527072619886 0.9289579811386945 0.9712087456290726 0.9903643659535638 1.0185045435839788 0.9679994930789282 0.9174944425738777 0.9235064635514612 0.8755729380421565 0.8033485339038705 0.7540543457367609 0.6793731876720932 0.6288681371670427 0.5783630866619921 0.5286319392523027 0.47812688874725207 0.4057451624372526 0.36054778212569133 0.3100427316206408 0.2595376811155902 0.18223665603118594 0.13173160552613547 0.08122655502108499 0.07772105777272356 0.0313431502750093 -0.003487185139761501 -0.04280979920749426 -0.04280979920749424 -0.04280979920749428 -0.07106833494881111 -0.07106833494881111 -0.027629627682339952 -0.027629627682339983 -0.002702025818230519 -0.019360904902511755 -0.019360904902511907 -0.019360904902511827 -0.01936090490251182 0.02439244670738619 0.024392446707386183 0.02439244670738619 0.024392446707386224 0.027984395866093793 0.027984395866093786 -0.016474979602073603 -0.0756553549132456 -0.12565535491324553 -0.1761604054182961 -0.22138346088214478 -0.27188851138719533 -0.3207831858761877 -0.37128823638123815 -0.42179328688628864 -0.4940176910245747 -0.543703999485581 -0.5715359310399983 -0.5882567748864207 -0.6387618253914711 -0.6892668758965216 -0.7392451327241747 -0.8116268590341741 -0.8621319095392247 -0.9126369600442752 -0.9631420105493256 -0.94044303563373 -0.9909480861387804 -0.9525343857074964 -0.9307862493171569 -0.8812912998222073 -0.8307862493171569 -0.7886741137912512 -0.7381690632862006 -0.6875827698441199 -0.6287233848209066,753890.291359 753890.292997 753890.302272 753890.302451 753890.313545 753890.313866 753890.32305 753890.323076 753890.335319 753890.335956 753890.3451319999 753890.345361 753890.357038 753890.362233 753890.369467 753890.374453 753890.385187 753890.3871149999 753890.397127 753890.398512 753890.408257 753890.412028 753890.417847 753890.4230139999 753890.429353 753890.437108 753890.441835 753890.449385 753890.45552 753890.463557 753890.46674 753890.477461 753890.482796 753890.493226 753890.494437 753890.508866 753890.509481 753890.521683 753890.5284289999 753890.535153 753890.547472 753890.548599 753890.564459 753890.566891 753890.578603 753890.580841 753890.59367 753890.599631 753890.6065999999 753890.616599 753890.6229419999 753890.63507 753890.636009 753890.652369 753890.655253 753890.665008 753890.669001 753890.683129 753890.6843119999 753890.6946009999 753890.6957469999 753890.709401 753890.709863 753890.722668 753890.728136 753890.739819 753890.744498 753890.753235 753890.758268 753890.767106 753890.775664 753890.780849 753890.793027 753890.794749 753890.802914 753890.8113139999 753890.814696 753890.822642 753890.824366 753890.833689 753890.835232 753890.843234
3,753890.919142,0.22144100000150502,753891.140583,101,107,113,0.5322944877496005,0.5874707590564588 0.6440214845983925 0.6575670078661963 0.6777876282093755 0.728292678714426 0.7321706562445875 0.7326757067496382 0.7276820928274035 0.7179925661009023 0.6170066621683116 0.5949836956976009 0.5402018075950683 0.439980748658034 0.3418361319145031 0.24082603090440216 0.14242683911063286 0.041943531777929366 -0.05906656923217165 -0.16007667024227262 -0.26076043281189276 -0.2739960540539342 -0.3720851993434611 -0.4730953003535622 -0.5725840680641613 -0.5721971290394768 -0.611435724640761 -0.7119407751458116 -0.715140914928457 -0.7156459654335077 -0.7118389199593106 -0.7170178195557465 -0.666056112700666 -0.6591786781825013 -0.6313783631092129 -0.5819463462452454,753890.919142 753890.921532 753890.929041 753890.9317269999 753890.941449 753890.943357 753890.950498 753890.952338 753890.961181 753890.964411 753890.975028 753890.9790919999 753890.990542 753890.993367 753891.00494 753891.005692 753891.0170999999 753891.021672 753891.032308 753891.033885 753891.045098 753891.047654 753891.060681 753891.061189 753891.0743409999 753891.078964 753891.093296 753891.09677 753891.102986 753891.107354 753891.115208 753891.119352 753891.124233 753891.128916 753891.135751
4,753896.807338,0.22098799992818385,753897.028326,408,414,421,0.5064094008413118,0.5017886890445846 0.5522937395496351 0.5988541396117723 0.5993591901168228 0.6498642406218733 0.7003692911269237 0.7036067118688817 0.7041117623739322 0.7040251640498789 0.7064567836988604 0.6958135766352819 0.6637768747971065 0.5687440088441426 0.47194108964417025 0.37789067079522687 0.28004130776682584 0.22401148022754191 0.12485172714576746 0.02619099137485794 -0.07156928077161749 -0.16926808788592 -0.16906777272520956 -0.26769699028244237 -0.36691668215624323 -0.4642754869168004 -0.4652855879269015 -0.5611124238723006 -0.6590150668303926 -0.65893385194969 -0.6555586706648723 -0.6625864556481894 -0.6705992224380977 -0.6699049246572034 -0.6641875658512869 -0.6256369854605108 -0.5751319349554604,753896.807338 753896.8157939999 753896.816621 753896.824818 753896.828158 753896.835633 753896.836817 753896.845337 753896.849543 753896.856374 753896.858489 753896.865615 753896.8740279999 753896.881133 753896.8872829999 753896.8975269999 753896.902033 753896.915271 753896.915701 753896.929685 753896.93183 753896.942007 753896.942293 753896.958854 753896.9606079999 753896.972048 753896.972705 753896.988334 753896.988454 753896.998908 753896.998923 753897.009751 753897.01007 753897.017915 753897.017919 753897.0276629999
5,753900.629618,0.2062879999866709,753900.835906,632,638,644,0.5439021109618971,0.5041242402486134 0.554629290753664 0.6071207593662578 0.6576258098713083 0.6560398732087371 0.670353735990069 0.7248965225352926 0.7457434276656213 0.7355645623388457 0.7355645623388457 0.7275184590925614 0.6929385956406136 0.6781281811484939 0.5805639300146042 0.4801709688737693 0.38140750239035454 0.28716387117193565 0.1879883469419804 0.0869782459318794 -0.012805338995188176 -0.11294806900004785 -0.21110013933451133 -0.2608557316223049 -0.36186583263240585 -0.4628759336425068 -0.5638860346526078 -0.5642765954805888 -0.591707035318844 -0.6910465656423351 -0.7311805675042541 -0.7261865330983434 -0.7215632627023132 -0.7197648701560158 -0.705096754092233 -0.7047197788643264 -0.6589166618347316 -0.6094877039533821 -0.5634759225017042,753900.629618 753900.637087 753900.637938 753900.645818 753900.645949 753900.6554309999 753900.655497 753900.663539 753900.663636 753900.673811 753900.675788 753900.682587 753900.688372 753900.691144 753900.701574 753900.704657 753900.715154 753900.719635 753900.727345 753900.730058 753900.740779 753900.743654 753900.7533549999 753900.757336 753900.767277 753900.768151 753900.779094 753900.781723 753900.78762 753900.795465 753900.798913 753900.807344 753900.808551 753900.8164659999 753900.816786 753900.827313 753900.827666 753900.835337
6,753925.004213,0.20290999999269843,753925.207123,1782,1786,1790,0.4192793756915153,0.5235532906203791 0.5266962736427413 0.5735622047057287 0.594300518000149 0.6005126379840532 0.5935992005983014 0.6070878280417115 0.6114544643179566 0.6034172566133548 0.5981641908972182 0.5048640470195529 0.4106957494493916 0.3178764374452638 0.2197624087217108 0.11875230771160976 0.024648350044114503 -0.07379056613816262 -0.06913780791629344 -0.17014790892639448 -0.1654926215642862 -0.2656393824085071 -0.26382315759745406 -0.3641915152654734 -0.3803553888175453 -0.47477833067566355 -0.5129821986746538 -0.5139922996847548 -0.517111052515915 -0.5420931864149873 -0.5508264589674775 -0.5589685196711792 -0.5646624610765042,753925.004213 753925.01026 753925.01136 753925.021599 753925.021639 753925.03067 753925.034615 753925.040149 753925.04377 753925.048267 753925.0571549999 753925.062777 753925.070507 753925.073684 753925.087215 753925.091488 753925.108488 753925.1087859999 753925.120927 753925.125906 753925.13498 753925.138331 753925.145787 753925.1543309999 753925.158503 753925.168042 753925.175828 753925.180969 753925.185432 753925.188589 753925.197808 753925.1994769999
7,753985.437313,0.20984500006306916,753985.647158,4407,4413,4419,0.5656046741402538,0.5342057092721011 0.5847107597771516 0.6352775101205514 0.6883863714706014 0.7388914219756518 0.7902725493764834 0.8407775998815341 0.8346430843022333 0.8354368744188846 0.8226528190317538 0.8210648098091645 0.734624028658963 0.6446169119607076 0.5483602693301017 0.5596156645597256 0.46559055661246285 0.369187957860547 0.28190558019846623 0.18272597395344461 0.08839962172321844 0.044587184877163066 -0.05051318785151224 -0.14280384880118077 -0.24381394981128182 -0.34280394103786344 -0.44166384663239056 -0.5413154614573215 -0.6407251777552031 -0.7363540450008869 -0.732008602450536 -0.7292337428154126 -0.7380998765293757 -0.7488247208839474 -0.7196061928781354 -0.6906817897116052 -0.6446867547568407 -0.6652656995291253 -0.6255421900392374 -0.5842521440505571 -0.5600585344468295,753985.437313 753985.438247 753985.445293 753985.445611 753985.455531 753985.456778 753985.462673 753985.464785 753985.469982 753985.4733899999 753985.479442 753985.483516 753985.491153 753985.4962299999 753985.501086 753985.505734 753985.511909 753985.519376 753985.521679 753985.533822 753985.534198 753985.544976 753985.549182 753985.556687 753985.5632709999 753985.567423 753985.5782089999 753985.581224 753985.591612 753985.593154 753985.60338 753985.603414 753985.611833 753985.614922 753985.6212759999 753985.625804 753985.629203 753985.634415 753985.637325 753985.644825
8,754001.544854,0.22313000005669892,754001.767984,5126,5131,5137,0.5659515234085424,0.5139614162669874 0.564466466772038 0.6128811101367614 0.663386160641812 0.6673950458144834 0.7179000963195339 0.7742079299236722 0.8222494421914301 0.8057150419643364 0.829830831382605 0.8409697855692855 0.7408077822920778 0.7520333528648248 0.668505522952851 0.6208927136922371 0.5376720433726704 0.4398987816281037 0.34734340681791376 0.24633330580781287 0.19862761180740568 0.09853262572507807 -0.001649280787211254 -0.09999071628226022 -0.1960495106265746 -0.2946999781427706 -0.39111191194536554 -0.39249846988763276 -0.49350857089773387 -0.5885543812937547 -0.6872018234226779 -0.6766859996730972 -0.7631901092532046 -0.7720538853927433 -0.7232450303534795 -0.7460270720428416 -0.7255610526339703 -0.7059186691272025 -0.6893060478583617 -0.6391405481567173 -0.6025221727397593 -0.5514867552889605,754001.544854 754001.5466669999 754001.551754 754001.5577819999 754001.561639 754001.5658389999 754001.570417 754001.576046 754001.57744 754001.5842629999 754001.585553 754001.597177 754001.599906 754001.6085399999 754001.610036 754001.621825 754001.624956 754001.631526 754001.63637 754001.6427109999 754001.65203 754001.652748 754001.663743 754001.667163 754001.674745 754001.678524 754001.688002 754001.691432 754001.700152 754001.704695 754001.713936 754001.718194 754001.725542 754001.727322 754001.736325 754001.73913 754001.743615 754001.747022 754001.756804 754001.759594 754001.763926
9,754029.396878,0.2123069999506697,754029.609185,6489,6494,6500,0.5255724636603759,0.521089111454995 0.5715941619600456 0.6004440877288374 0.6162211059693804 0.6167261564744311 0.6587792743710023 0.7055032952037191 0.743570524070065 0.7366504072312823 0.7842405437592974 0.7822220174123009 0.7662398391673729 0.6780879501514433 0.5910615834696795 0.4900514824595785 0.45180803281847776 0.3591583140907494 0.2581482130806484 0.15830869611823092 0.06644644505805342 0.03233832012081562 -0.06751395163351663 -0.16460361432989268 -0.26260302151534115 -0.3191038624062202 -0.35703829012863053 -0.3566370404501826 -0.4520208603577852 -0.5511404465317193 -0.6458302155059463 -0.6416410093729615 -0.7410066934920991 -0.749596674070281 -0.7404334753824673 -0.711692434767347 -0.6891548529189715 -0.6386498024139209 -0.6268772806236388 -0.5930929946833335,754029.396878 754029.4031679999 754029.406228 754029.412345 754029.416076 754029.420266 754029.424173 754029.429666 754029.433373 754029.437088 754029.442167 754029.446595 754029.453098 754029.457017 754029.465003 754029.470052 754029.479875 754029.480662 754029.491645 754029.493063 754029.5011379999 754029.508379 754029.512555 754029.520577 754029.5230169999 754029.536912 754029.538048 754029.545636 754029.549518 754029.560112 754029.562383 754029.571334 754029.574939 754029.5815719999 754029.5870149999 754029.589925 754029.594159 754029.600736 754029.60112
10,754044.168596,0.2530520000727847,754044.421648,7182,7187,7193,0.6113997393234759,0.5039093997640764 0.5544144502691272 0.5660221422940868 0.619862394780229 0.6709598823406553 0.721464932845706 0.7719699833507564 0.8188471399551766 0.8182703194897396 0.863681337297787 0.8965890797402936 0.9272705826797683 0.8788902450994823 0.8624091824168835 0.772293525058425 0.7298704429012725 0.6418661747222364 0.5408560737121353 0.44622949168204135 0.3531534672894027 0.26202439249432524 0.16743361539579477 0.07315124115827167 -0.027858859851829284 -0.06645580348080812 -0.1643217895823632 -0.26526936291182646 -0.36496953143956445 -0.4636422874805036 -0.5627576351019203 -0.576869318672123 -0.6732477715222335 -0.7654592185010626 -0.8531779111939058 -0.9036829616989565 -0.8956071099836787 -0.8668909467819131 -0.8464369814609128 -0.8206186877160452 -0.7701136372109946 -0.7315438267964396 -0.6969069295263141 -0.6468757389575633 -0.609209336275654 -0.5707689582503294 -0.5202639077452786,754044.168596 754044.175493 754044.176196 754044.185518 754044.188871 754044.192723 754044.195897 754044.199185 754044.2059149999 754044.20775 754044.213576 754044.214662 754044.225013 754044.229562 754044.235732 754044.241056 754044.251762 754044.252985 754044.262863 754044.2638429999 754044.2763189999 754044.277551 754044.28648 754044.289741 754044.298414 754044.305907 754044.308912 754044.3188829999 754044.323386 754044.332387 754044.33562 754044.343381 754044.348761 754044.360948 754044.361176 754044.373297 754044.377739 754044.380861 754044.387251 754044.387387 754044.397122 754044.398861 754044.404475 754044.407968 754044.413196 754044.419273
