progresso_pct,steering_medio,steering_sigma,acel_medio,acel_sigma,freio_medio,freio_sigma,pupila_medio,pupila_sigma
0.0,-0.17322633371836701,0.392554298743411,100.0,0.0,0.0,0.0,40.28155237833659,6.352001562294645
0.1001001001001001,-0.3618081454442921,0.3343502949495389,100.0,0.0,0.0,0.0,40.35851879457175,6.239119540318288
0.2002002002002002,0.09517232741683289,0.512274025290351,100.0,0.0,0.0,0.0,40.25309339656327,6.508041955852591
0.3003003003003003,-0.0018483422297872292,0.3037197250827751,100.0,0.0,0.0,0.0,40.36480347076813,6.468686482497231
0.4004004004004004,0.056135592574773706,0.7016434149539353,100.0,0.0,0.0,0.0,40.332273046183595,6.357111815212628
0.5005005005005005,0.4075815473004218,0.31907092422497885,100.0,0.0,0.0,0.0,40.55633432453857,6.439561850652263
0.6006006006006006,0.1917063355516596,0.49798827681898256,100.0,0.0,0.0,0.0,40.737170155079404,6.348971852990093
0.7007007007007008,-0.1477322395837534,0.5978120402851976,100.0,0.0,0.0,0.0,40.87545384511098,6.693454844163462
0.8008008008008008,0.6240516796114396,0.14133740104438305,100.0,0.0,0.0,0.0,40.781830863710795,6.334015063777331
0.9009009009009009,0.4849352191690453,0.34593706467548185,100.0,0.0,0.0,0.0,40.612280917239254,6.460020350500479
1.001001001001001,0.41636596250867114,0.4072285450034587,100.0,0.0,0.0,0.0,40.51677509762265,6.145429168277964
1.1011011011011012,0.23287335271105805,0.10884207292087206,100.0,0.0,0.0,0.0,40.44609293525602,5.859359136038031
1.2012012012012012,-0.1062202415640132,0.43745153018127153,100.0,0.0,0.0,0.0,40.611941976995915,5.980641374755831
1.3013013013013013,0.4516461783838935,0.8298107571561544,100.0,0.0,0.0,0.0,40.60593247768439,6.005343203824135
1.4014014014014016,-0.2437284653813444,0.2375401228474604,100.0,0.0,0.0,0.0,40.69640183816323,5.732591350450873
1.5015015015015016,0.24940982973935458,0.2510513176618867,100.0,0.0,0.0,0.0,40.69762131134431,5.63308850048294
1.6016016016016017,0.307503828390218,0.503083099522198,100.0,0.0,0.0,0.0,40.95584049829451,5.596779617061815
1.7017017017017018,0.3462989916360888,0.48726946874824634,100.0,0.0,0.0,0.0,41.14303773912462,5.540749772595419
1.8018018018018018,0.7850326551419103,1.123434376160735,100.0,0.0,0.0,0.0,41.35164454463009,5.64751222402975
1.9019019019019021,0.5385772473720701,1.9690152484359698,100.0,0.0,0.0,0.0,41.33953376416171,5.722188869578032
2.002002002002002,0.4999000021203866,1.2321022529101575,100.0,0.0,0.0,0.0,41.34182764052709,5.785579216778655
2.1021021021021022,0.10438740615770666,1.3621526669622213,100.0,0.0,0.0,0.0,41.52280569066992,5.7157771136786675
2.2022022022022023,0.13461341804559557,0.5658743311505956,100.0,0.0,0.0,0.0,41.4846573456391,5.609537334591141
2.3023023023023024,0.307259477051224,1.0539166434641052,98.56899330117794,2.023749081320908,0.0,0.0,41.44386833656777,5.605473477848236
2.4024024024024024,0.21404961435960831,0.20908997109298105,78.96811374575604,29.743578783040093,0.0,0.0,41.645451075465104,5.6106699320632005
2.5025025025025025,-1.4166952623469662,1.6233688801897346,90.0,14.142135623730951,0.0,0.0,41.85691319727524,5.303259376544546
2.6026026026026026,-1.523466082443602,0.5821819256227689,56.891932852647614,37.35105420998117,15.996069385284263,17.177296145935465,42.112303744326596,5.513708540271554
