progresso_pct,steering_medio,steering_sigma,acel_medio,acel_sigma,freio_medio,freio_sigma,pupila_medio,pupila_sigma
0.0,-0.21845733338636797,0.41059382738362243,100.0,0.0,0.0,0.0,40.6816037495931,6.371531568051149
0.1001001001001001,0.3644256585245913,0.858660945151751,100.0,0.0,0.0,0.0,40.454539108149085,6.509160090551473
0.2002002002002002,0.016193532983216786,0.18731769414431587,100.0,0.0,0.0,0.0,40.25230470389416,6.37814083145916
0.3003003003003003,0.36329189556767477,0.4685881224588296,100.0,0.0,0.0,0.0,40.142254261784366,6.436633759335448
0.4004004004004004,-0.1280058692323919,0.7026500499237973,100.0,0.0,0.0,0.0,37.63826531597008,3.7738814713008018
0.5005005005005005,0.35110638971202074,0.5057195218148817,100.0,0.0,0.0,0.0,40.55535162530186,6.741716133790124
0.6006006006006006,0.5555973062508403,0.4428155326196107,100.0,0.0,0.0,0.0,40.54329582955148,6.436439677427239
0.7007007007007008,0.3680406542530766,0.40304895566332805,100.0,0.0,0.0,0.0,40.6020128822263,6.319099981004782
0.8008008008008008,0.24848993437311043,0.30455691662477036,100.0,0.0,0.0,0.0,40.47103556625677,6.133465838450831
0.9009009009009009,0.20381782292501727,0.5449086249569141,100.0,0.0,0.0,0.0,40.40219671804984,5.807005756170511
1.001001001001001,-0.22478967334727826,0.5884276948444527,100.0,0.0,0.0,0.0,40.43663912109029,5.811408231880763
1.1011011011011012,0.28002995105432266,0.4384155939937245,100.0,0.0,0.0,0.0,40.50757165259029,5.894712954638025
1.2012012012012012,0.37295587610352693,0.6148047639859904,100.0,0.0,0.0,0.0,40.41443307168253,5.868015395361113
1.3013013013013013,0.08416685708799353,0.37819279762579144,100.0,0.0,0.0,0.0,40.80402279797499,5.502484821865644
1.4014014014014016,0.10803413685329655,0.3539172197871804,100.0,0.0,0.0,0.0,40.97473912409317,5.5333498211713295
1.5015015015015016,0.48127762561423637,0.6968431219836365,100.0,0.0,0.0,0.0,40.98299107518162,5.592918544758149
1.6016016016016017,-0.03346869028401719,0.755168976397658,100.0,0.0,0.0,0.0,41.404362608967205,5.693660740622379
1.7017017017017018,0.4931358969890504,1.4139777130189104,100.0,0.0,0.0,0.0,41.411597873100966,5.638480153236695
1.8018018018018018,0.9109869731929444,1.7441171077193036,100.0,0.0,0.0,0.0,41.4221300783816,5.852007534182303
1.9019019019019021,0.2522990150174583,1.470457610565862,100.0,0.0,0.0,0.0,41.52166146401529,5.635871395906034
