piloto,volta_num,anom_num,tipo,ini_pct,fim_pct,t_ini_volta,t_fim_volta,t_sync_m
Rafa,11,8,C,35.33533533533534,42.54254254254254,0.0,95.54,105.75
Rafa,11,9,C,44.44444444444445,53.753753753753756,0.0,95.54,105.75
Rafa,11,10,C,54.95495495495496,57.35735735735736,0.0,95.54,105.75
Rafa,11,11,C,58.25825825825826,60.16016016016017,0.0,95.54,105.75
Rafa,11,12,C,61.36136136136137,79.97997997997999,0.0,95.54,105.75
Rafa,21,1,A,62.26226226226227,63.16316316316317,95.55,191.89,105.75
Rafa,21,2,B,46.74674674674675,48.14814814814815,95.55,191.89,105.75
Rafa,21,3,B,65.96596596596596,66.76676676676676,95.55,191.89,105.75
Rafa,21,4,B,68.56856856856858,73.27327327327328,95.55,191.89,105.75
Rafa,21,5,C,3.4034034034034035,14.314314314314315,95.55,191.89,105.75
Rafa,21,6,C,18.31831831831832,19.21921921921922,95.55,191.89,105.75
Rafa,21,7,C,21.921921921921925,25.825825825825827,95.55,191.89,105.75
Rafa,21,8,C,27.027027027027028,33.933933933933936,95.55,191.89,105.75
Rafa,21,9,C,40.84084084084084,60.06006006006007,95.55,191.89,105.75
Rafa,21,10,C,61.06106106106107,79.47947947947948,95.55,191.89,105.75
Rafa,21,11,C,85.08508508508508,87.2872872872873,95.55,191.89,105.75
Rafa,31,1,B,52.352352352352355,53.153153153153156,191.9,286.69,105.75
Rafa,31,2,B,68.56856856856858,72.57257257257258,191.9,286.69,105.75
Rafa,31,3,C,3.1031031031031033,15.115115115115117,191.9,286.69,105.75
Rafa,31,4,C,26.526526526526528,34.93493493493494,191.9,286.69,105.75
Rafa,31,5,C,40.24024024024024,58.95895895895896,191.9,286.69,105.75
Rafa,31,6,C,59.75975975975976,68.76876876876878,191.9,286.69,105.75
Rafa,31,7,C,69.86986986986987,78.67867867867868,191.9,286.69,105.75
Rafa,31,8,C,86.18618618618619,87.8878878878879,191.9,286.69,105.75
Rafa,41,1,B,68.56856856856858,73.07307307307308,286.7,382.09,105.75
Rafa,41,2,C,3.3033033033033035,12.012012012012013,286.7,382.09,105.75
Rafa,41,3,C,13.913913913913914,15.415415415415417,286.7,382.09,105.75
Rafa,41,4,C,27.127127127127128,33.133133133133136,286.7,382.09,105.75
Rafa,41,5,C,34.134134134134136,36.83683683683684,286.7,382.09,105.75
Rafa,41,6,C,40.64064064064064,67.16716716716716,286.7,382.09,105.75
Rafa,41,7,C,68.06806806806807,72.37237237237238,286.7,382.09,105.75
Rafa,41,8,C,73.17317317317318,80.38038038038039,286.7,382.09,105.75
Rafa,41,9,C,85.58558558558559,87.18718718718719,286.7,382.09,105.75
Rafa,51,1,B,47.94794794794795,48.84884884884885,382.1,477.64,105.75
Rafa,51,2,B,65.96596596596596,67.46746746746747,382.1,477.64,105.75
Rafa,51,3,B,68.56856856856858,72.87287287287288,382.1,477.64,105.75
Rafa,51,4,C,3.1031031031031033,17.31731731731732,382.1,477.64,105.75
Rafa,51,5,C,18.61861861861862,19.91991991991992,382.1,477.64,105.75
Rafa,51,6,C,26.126126126126128,34.73473473473474,382.1,477.64,105.75
Rafa,51,7,C,40.54054054054054,54.55455455455456,382.1,477.64,105.75
Rafa,51,8,C,55.55555555555556,67.36736736736736,382.1,477.64,105.75
Rafa,51,9,C,68.26826826826827,80.08008008008008,382.1,477.64,105.75
Rafa,51,10,C,84.68468468468468,87.8878878878879,382.1,477.64,105.75
Varela,1,1,A,8.70870870870871,10.01001001001001,-143.650004,-0.0100040000000092,143.650004
