Timestamp,ID_Piloto,Volta,Tipo_Anomalia,Contexto_Pista,Duracao_Anomalia_s,Diam_Antes_mm,Diam_Durante_mm,Diam_Depois_mm,Delta_Diam_mm,Tipo_Resposta_Pupilar,TR_Pupila_s,TR_Steering_s,TR_Acelerador_s,TR_Freio_s,Primeiro_Sinal,N_Picos_Cognitivos,Intensidade_Media_Picos,N_Fixacoes,Dur_Media_Fixacao_ms,Fix_Curtas,Fix_Longas,Comportamento_Visual,Tempo_Reacao_Pupilar_s,Media_Tamanho_Pupilar,Crescimento_Pupilar_Derivada,Tempo_No_Escuro_s,Distancia_No_Escuro_m
248.5463,Rafa,3,C,Curva,8.5396,43.8607,39.9157,36.9962,-3.945,Contracao,0.0443,0.0,2.25,2.25,Steering,0,0.0,66,168.3,10,0,Exploracao visual normal,-2.2119,40.2466,15810.6554,0.9178,30.3858
258.1296,Rafa,3,C,Curva,8.3499,37.011,42.1882,32.4574,5.1773,Dilatacao,0.6838,0.0,1.91,1.91,Steering,0,0.0,69,153.1,15,0,Exploracao visual normal,-1.2358,40.4077,19885.7798,1.2886,46.3866
273.5959,Rafa,3,C,Reta,1.613,40.3598,42.4288,42.3238,2.069,Dilatacao,0.0,2.843,2.993,2.993,Pupila,0,0.0,35,169.4,3,0,Exploracao visual normal,-2.9989,40.669,39767.6619,0.2291,10.0407
350.6753,Rafa,4,B,Reta,1.3368,43.4241,43.5795,42.6928,0.1554,Estavel,0.3663,0.3,0.0,2.68,Acelerador,1,1.6319,32,170.3,7,0,Exploracao visual normal,-2.319,42.4688,305.4654,0.0,0.0
289.851,Rafa,4,C,Curva,8.3072,35.6907,38.2753,41.0257,2.5846,Dilatacao,0.2162,0.41,0.03,0.0,Freio,6,3.7253,61,200.1,3,0,Exploracao visual normal,-0.1948,38.556,654095.7052,1.0732,40.8652
299.9725,Rafa,4,C,Curva,1.4323,41.1761,43.2936,42.3931,2.1174,Dilatacao,0.0,0.7152,0.8252,0.8252,Pupila,2,3.1525,32,191.8,2,0,Exploracao visual normal,-0.8276,41.6657,1579.527,0.2602,10.261
312.5766,Rafa,4,C,Curva,5.7291,37.5501,39.3367,38.6633,1.7865,Dilatacao,0.4728,0.47,0.05,0.0,Freio,1,4.2057,50,192.5,3,0,Exploracao visual normal,-0.0037,38.7293,5562.1699,0.8164,38.9327
319.2606,Rafa,4,C,Reta,2.5781,38.747,39.4878,42.3193,0.7409,Dilatacao,0.0,0.6604,0.7304,0.7304,Pupila,1,4.2057,40,170.8,7,0,Exploracao visual normal,-0.731,40.5187,5321.4976,0.2711,12.5109
325.4671,Rafa,4,C,Curva,25.3037,39.705,41.5513,43.5658,1.8463,Dilatacao,0.0,0.0839,0.0839,0.0839,Pupila,13,8.2608,152,167.7,25,0,Exploracao visual normal,-0.091,41.7505,113724.4148,1.8312,70.1966
351.6301,Rafa,4,C,Curva,4.1059,43.5688,43.0863,44.3762,-0.4825,Contracao,0.5794,0.0,0.0,2.64,Steering,0,0.0,48,173.4,9,0,Exploracao visual normal,-2.0608,43.1115,1171.5415,0.0,0.0
356.4999,Rafa,4,C,Curva,6.875,44.6745,39.3999,37.227,-5.2746,Contracao,0.0,0.595,2.435,2.435,Pupila,8,7.8706,59,167.3,9,0,Exploracao visual normal,-2.4449,39.7771,107702.4326,0.83,29.5254
368.3401,Rafa,4,C,Reta,1.5278,40.4655,40.7865,42.0431,0.321,Dilatacao,0.0,0.0016,0.0016,0.0016,Pupila,0,0.0,40,149.1,11,0,Exploracao visual normal,-0.0017,40.7877,3868.5948,0.0,0.0
446.2715,Rafa,5,B,Reta,1.2433,37.308,37.1102,41.7413,-0.1978,Estavel,2.0411,0.0,2.47,2.47,Steering,0,0.0,31,145.2,8,0,Exploracao visual normal,-0.4304,39.4425,5165.34,0.547,18.9327
463.8685,Rafa,5,B,Reta,0.7651,38.6334,39.4061,41.0117,0.7727,Dilatacao,0.0,1.1841,1.2841,1.2841,Pupila,0,0.0,29,175.8,4,0,Exploracao visual normal,-1.2925,39.5332,1052.7725,0.1556,6.6574
385.0647,Rafa,5,C,Curva,13.5803,38.0868,39.7056,46.2689,1.6188,Dilatacao,0.2437,0.39,0.04,0.0,Freio,8,4.7225,90,186.6,12,0,Exploracao visual normal,-0.151,40.1327,78464.6397,0.9387,29.5317
399.8882,Rafa,5,C,Reta,1.2433,46.5352,46.9318,45.5074,0.3966,Dilatacao,0.019,0.0,1.42,1.42,Steering,0,0.0,33,152.0,9,0,Exploracao visual normal,-1.4092,44.8509,572.4348,0.1563,8.715
407.0609,Rafa,5,C,Curva,8.2247,40.7319,38.1583,39.0716,-2.5736,Contracao,0.0,2.9969,2.9969,2.9969,Pupila,10,6.8299,62,192.3,4,0,Exploracao visual normal,-2.9978,38.6699,32738.2447,1.007,47.081
420.8324,Rafa,5,C,Curva,13.389,46.6314,42.4951,44.1201,-4.1362,Contracao,0.0,2.0246,2.0946,2.0946,Pupila,9,6.8431,94,162.7,21,0,Exploracao visual normal,-2.097,42.8934,25468.8526,0.5541,21.7192
435.1778,Rafa,5,C,Curva,11.285,44.0634,40.4221,35.9882,-3.6412,Contracao,2.6949,0.0,2.39,2.69,Steering,3,3.2499,80,156.0,18,0,Exploracao visual normal,-0.0029,40.8626,13062.0333,1.0533,35.2126
447.3235,Rafa,5,C,Curva,11.285,35.682,39.3645,35.1337,3.6825,Dilatacao,0.0702,0.0,2.5,2.5,Steering,0,0.0,83,165.4,15,0,Exploracao visual normal,-2.4333,38.7014,32947.4112,1.4447,50.0502
463.0077,Rafa,5,C,Reta,3.0603,38.2319,40.0282,35.5416,1.7963,Dilatacao,0.0,0.2582,0.2582,0.2582,Pupila,2,4.6977,40,172.3,6,0,Exploracao visual normal,-0.2659,38.9487,7078.1661,0.4764,22.7531
