id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
1,753888.904827,82.24349992815405,0,1,0.6254717385477399,0.6084183394278997,1.1912048963539723,0.9961943468626808,3d gaze,615.8920988879984,-435.01656630113683,2860.8733043748666,753888.904827 753888.9107325 753888.916366 753888.921418 753888.92561 753888.931263 753888.9368034999 753888.941604 753888.9463015001 753888.9515869999 753888.9570175 753888.961518 753888.966058 753888.972663 753888.9784445 753888.9830509999 753888.9870704999
2,753889.011239,195.6375000299886,1,7,0.6033590492625767,0.5913417803399527,1.4465653833639958,0.9866624845040811,3d gaze,3354.624109345283,-2435.8478661299237,18883.492727359087,753889.011239 753889.0200815 753889.028308 753889.0328269999 753889.0372325 753889.0429565001 753889.0489304999 753889.0535705 753889.057827 753889.0631585 753889.0688149999 753889.073451 753889.0779725 753889.0833825 753889.0888145 753889.093151 753889.097758 753889.1041675 753889.1098034999 753889.1145919999 753889.119238 753889.1255175001 753889.131852 753889.1366195 753889.1412055 753889.1472315 753889.1530919999 753889.157979 753889.162713 753889.1693094999 753889.1753634999 753889.1799325 753889.1846395 753889.1907385 753889.1974325 753889.2018619999 753889.2068765
3,753889.2128055,203.58149998355657,8,18,0.597371602657192,0.5861340148310719,1.3011507768035746,0.9990144517177191,3d gaze,4952.69425166403,-3711.8522301641574,28721.929780044902,753889.2128055 753889.218533 753889.2235525 753889.228918 753889.234434 753889.2404075 753889.2449815 753889.249939 753889.2559849999 753889.2621685 753889.266663 753889.2715035 753889.2772105 753889.283281 753889.2881175 753889.292896 753889.2990725001 753889.3055445 753889.3103034999 753889.314798 753889.3207535 753889.3268885 753889.3312985 753889.335804 753889.341705 753889.347539 753889.352006 753889.3566965 753889.3626685 753889.3681595 753889.3728525001 753889.3780765 753889.3839199999 753889.390255 753889.3952275 753889.40013 753889.4064465 753889.412245 753889.416387
4,753889.4217000001,214.9314999114722,18,30,0.5966724073686016,0.6123674877212902,1.4266150111497475,0.9881829886060012,3d gaze,758.732176782336,-680.5802271182678,4455.230167964727,753889.4217000001 753889.4276735 753889.4336915 753889.43883 753889.444928 753889.4498985 753889.4561325 753889.460609 753889.466348 753889.470902 753889.4771805 753889.4818015 753889.483029 753889.492482 753889.5033999999 753889.5201655 753889.525381 753889.530756 753889.535345 753889.5411415 753889.5474125 753889.5518875 753889.5566035 753889.5625674999 753889.568458 753889.5729914999 753889.5775814999 753889.5832595001 753889.5893895 753889.5940680001 753889.5984700001 753889.604581 753889.610507 753889.614874 753889.6195014999 753889.6258574999 753889.6321304999 753889.6366315
5,753889.641811,216.31100005470216,30,40,0.5973993301641235,0.6227850226972246,0.7571015837320243,0.9855964765316103,3d gaze,494.12488577198275,-469.7551927659142,2893.800933285112,753889.641811 753889.6480115 753889.654393 753889.6590405 753889.663742 753889.6698665 753889.675789 753889.6805644999 753889.6849435 753889.6903165 753889.6958155 753889.700101 753889.704586 753889.710584 753889.7163799999 753889.7206684999 753889.725351 753889.7312155 753889.7371505 753889.7423175 753889.747058 753889.7523225 753889.7583755 753889.763098 753889.7689545 753889.773388 753889.7793675 753889.7841 753889.788646 753889.7943085 753889.8008885 753889.8063405 753889.8109925 753889.817648 753889.8246915 753889.8298114999 753889.83508 753889.8424645 753889.8484204999 753889.85289 753889.858122
6,753890.112397,103.93099999055266,54,59,0.4943918492582477,0.6628114664465216,1.4529197628564736,0.9794289417862891,3d gaze,-24.845953366589377,-3830.920752831366,19254.072279602893,753890.112397 753890.1185895 753890.123487 753890.1294664999 753890.1354515 753890.1416195 753890.1462605 753890.1505895 753890.1566285 753890.1627575 753890.1675634999 753890.17288 753890.17868 753890.184234 753890.1901354999 753890.1948425 753890.200758 753890.2070444999 753890.2117955 753890.216328
7,753890.2226374999,122.72350012790412,60,67,0.500235678321533,0.6533379190579619,1.2094705320303878,0.9757477343082428,3d gaze,106.06634998783254,-2233.599025171243,11789.072809390062,753890.2226374999 753890.228659 753890.2336255 753890.2382924999 753890.244573 753890.2504390001 753890.254835 753890.2597765 753890.2657089999 753890.271195 753890.2759344999 753890.280836 753890.2864315 753890.2921780001 753890.297724 753890.3023615 753890.3081585 753890.3137055 753890.3184710001 753890.323063 753890.3291974999 753890.3356375 753890.3406585001 753890.345361
8,753890.8030315,82.33650005422533,94,98,0.5275714964302319,0.7516898803412925,0.8268603060738948,0.9768258535160738,3d gaze,36.046436947771156,-187.89855038994352,656.487404914351,753890.8030315 753890.807114 753890.8130049999 753890.818669 753890.823504 753890.8290275 753890.8344604999 753890.8392330001 753890.8438035 753890.8498505 753890.855825 753890.860323 753890.8645105 753890.8702285 753890.8762729999 753890.8809135 753890.885368
9,753891.3099435,84.90150002762675,122,127,0.5655965992155638,0.34715674150046827,1.3052638986650127,0.9826091247446397,3d gaze,73.93020530264833,58.651242742324996,639.098321003713,753891.3099435 753891.315368 753891.321427 753891.326396 753891.331443 753891.3375655 753891.3437505 753891.3487485 753891.3531444999 753891.359437 753891.3653975 753891.37001 753891.374854 753891.3805215 753891.385685 753891.3903345 753891.394845
10,753891.4003805,217.95899991411716,127,137,0.5654510227393238,0.36986121765755076,0.9293848389082219,0.9693230837583542,3d gaze,102.06174939390219,62.8470776414322,883.298872917754,753891.4003805 753891.406369 753891.411269 753891.4156114999 753891.4212354999 753891.4269119999 753891.431228 753891.435828 753891.4425445 753891.4484860001 753891.4528825 753891.4579675 753891.4640985001 753891.469987 753891.4745265 753891.4794235 753891.4850689999 753891.4909125 753891.4958515 753891.5005135 753891.505996 753891.51202 753891.5170529999 753891.521803 753891.5281395 753891.534119 753891.5392205 753891.5438824999 753891.549386 753891.5550924999 753891.5594184999 753891.5638319999 753891.5697305 753891.5757655001 753891.5808775 753891.585404 753891.5914425 753891.5975454999 753891.601942 753891.6068185 753891.612651 753891.6183394999
