# timestamps [seconds],pts
753899.009241,659440
753899.022938,660337
753899.040134,661464
753899.059026,662702
753899.076676,663859
753899.090888,664790
753899.107510,665880
753899.123408,666922
753899.140737,668057
753899.158879,669246
753899.177117,670441
753899.190959,671348
753899.207649,672442
753899.223236,673464
753899.242978,674758
753899.261437,675967
753899.274940,676852
753899.291124,677913
753899.307121,678961
753899.327003,680264
753899.346555,681545
753899.365358,682778
753899.374931,683405
753899.393273,684607
753899.410744,685752
753899.431584,687118
753899.449322,688280
753899.458935,688910
753899.475435,689992
753899.491016,691013
753899.510913,692317
753899.531956,693696
753899.542816,694407
753899.560001,695534
753899.574870,696508
753899.594943,697824
753899.610997,698876
753899.627693,699970
753899.669184,702689
753899.684990,703725
753899.699684,704688
753899.710991,705429
753899.727115,706485
753899.744035,707594
753899.759093,708581
753899.779012,709887
753899.794946,710931
753899.812254,712065
753899.826958,713029
753899.845961,714274
753899.862910,715385
753899.881889,716629
753899.901363,717905
753899.919927,719121
753899.938527,720340
753899.948656,721004
753899.963216,721958
753899.981415,723151
753899.999587,724342
753900.018497,725581
753900.027639,726180
753900.047005,727449
753900.066232,728710
753900.078989,729546
753900.096058,730664
753900.110911,731638
753900.130914,732948
753900.146944,733999
753900.163655,735094
753900.178988,736099
753900.195140,737157
753900.215051,738462
753900.232859,739629
753900.252314,740904
753900.271968,742192
753900.279635,742695
753900.299168,743975
753900.318365,745233
753900.337457,746484
753900.355754,747683
753900.362902,748152
753900.379151,749217
753900.399114,750525
753900.418001,751763
753900.431054,752618
753900.447556,753700
753900.465678,754887
753900.483876,756080
753900.504336,757421
753900.514792,758106
753900.531496,759201
753900.551648,760521
753900.567317,761548
753900.583715,762623
753900.598985,763623
753900.618320,764891
753900.636559,766086
753900.647004,766770
753900.667247,768097
753900.683269,769147
753900.699442,770207
753900.714958,771224
753900.731118,772283
753900.751152,773596
753900.767755,774684
753900.783046,775686
753900.800039,776800
753900.817941,777973
753900.836829,779211
753900.850935,780135
753900.869037,781321
753900.887543,782534
753900.907385,783834
753900.919338,784618
753900.934951,785641
753900.951248,786709
753900.967926,787802
753900.987211,789066
753901.039456,792490
753901.066501,794262
753901.078580,795054
753901.082982,795342
753901.103106,796661
753901.125674,798140
753901.145569,799444
753901.166123,800791
753901.186625,802134
753901.206686,803449
753901.227760,804830
753901.235829,805359
753901.251065,806358
753901.268271,807485
753901.288178,808790
753901.308142,810098
753901.319059,810814
753901.335039,811861
753901.355172,813180
753901.374006,814414
753901.387164,815277
753901.404716,816427
753901.423149,817635
753901.435133,818420
753901.455189,819735
753901.473617,820942
753901.486956,821817
753901.503745,822917
753901.519044,823920
753901.536711,825077
753901.556033,826344
753901.571321,827346
753901.588792,828490
753901.606533,829653
753901.619021,830472
753901.639421,831808
753901.657925,833021
753901.676277,834224
753901.687067,834931
753901.705140,836115
753901.723029,837288
753901.742333,838553
753901.763279,839925
753901.782058,841156
753901.789878,841669
753901.807116,842798
753901.826562,844073
753901.846380,845372
753901.856208,846016
753901.871113,846992
753901.887892,848092
753901.907067,849349
753901.927386,850680
753901.939137,851450
753901.955370,852514
753901.971183,853550
753901.992847,854970
753902.012702,856271
753902.030768,857455
753902.039709,858041
753902.056193,859122
753902.075210,860368
753902.094188,861612
753902.113336,862866
753902.132134,864098
753902.152177,865412
753902.171462,866676
753902.191413,867983
753902.210082,869207
753902.222935,870049
753902.240526,871202
753902.259082,872418
753902.276555,873563
753902.300890,875158
753902.320976,876474
753902.329243,877016
753902.345938,878110
753902.399796,881640
753902.433654,883859
753902.443690,884516
753902.459207,885533
753902.475129,886577
753902.493866,887805
753902.507190,888678
753902.526973,889974
753902.543135,891033
753902.559614,892113
753902.575232,893137
753902.593919,894361
753902.615698,895789
753902.640054,897385
753902.648269,897923
753902.662702,898869
753902.682069,900138
753902.695217,901000
753902.711320,902055
753902.728977,903213
753902.743121,904139
753902.762186,905389
753902.775067,906233
753902.795062,907543
753902.816889,908974
753902.839626,910464
753902.859389,911759
753902.879082,913050
753902.898729,914337
753902.918326,915621
753902.927062,916194
753902.943113,917246
753902.963089,918555
753902.979254,919614
753902.996426,920740
753903.015480,921988
753903.038853,923520
753903.046533,924024
753903.063095,925109
753903.083210,926427
753903.095172,927211
753903.111259,928265
753903.129585,929466
753903.146998,930608
753903.165406,931814
753903.183668,933011
753903.195054,933757
753903.210997,934802
753903.231167,936124
753903.250694,937403
753903.269634,938644
753903.279502,939291
753903.295090,940313
753903.313611,941526
753903.331083,942672
753903.350178,943923
753903.363089,944769
753903.379040,945814
753903.399712,947169
753903.418782,948419
753903.439726,949791
753903.447553,950304
753903.463354,951340
753903.479080,952371
753903.499106,953683
753903.515049,954728
753903.533264,955921
753903.547095,956828
753903.563300,957890
753903.583076,959186
753903.602663,960470
753903.623918,961862
753903.631785,962378
753903.647190,963388
753903.667638,964728
753903.686747,965980
753903.699065,966787
753903.715103,967838
753903.767975,971303
753903.801738,973516
753903.815139,974394
753903.831134,975442
753903.851240,976760
753903.870341,978012
753903.889276,979253
753903.899105,979897
753903.915131,980947
753903.934191,982196
753903.955291,983579
753903.967263,984364
753903.983764,985445
753904.002207,986654
753904.022225,987966
753904.041888,989254
753904.059743,990424
753904.080996,991817
753904.101010,993129
753904.118916,994302
753904.135213,995370
753904.153673,996580
753904.167367,997477
753904.185396,998659
753904.203090,999818
753904.220469,1000957
753904.235334,1001932
753904.251231,1002973
753904.269153,1004148
753904.283198,1005068
753904.303194,1006379
753904.319374,1007439
753904.335387,1008489
753904.351148,1009521
753904.368579,1010664
753904.387158,1011881
753904.408116,1013255
753904.428335,1014580
753904.447304,1015823
753904.457336,1016481
753904.479666,1017944
753904.503906,1019532
753904.524200,1020862
753904.535231,1021585
753904.551239,1022634
753904.571392,1023955
753904.587252,1024995
753904.603859,1026083
753904.622012,1027273
753904.640775,1028502
753904.659517,1029730
753904.677051,1030880
753904.694595,1032029
753904.712502,1033203
753904.719199,1033642
753904.739434,1034968
753904.761087,1036387
753904.779837,1037616
753904.797995,1038806
753904.806256,1039347
753904.819452,1040212
753904.839172,1041504
753904.857409,1042699
753904.871210,1043604
753904.887159,1044649
753904.903102,1045694
753904.923614,1047038
753904.942723,1048290
753904.959720,1049404
753904.977396,1050563
753904.994679,1051695
753905.013094,1052902
753905.031799,1054128
753905.050121,1055329
753905.069564,1056603
753905.089028,1057878
753905.108544,1059157
753905.128358,1060456
753905.151154,1061950
753905.174092,1063453
753905.192755,1064676
753905.211326,1065893
753905.230157,1067127
753905.249294,1068381
753905.270185,1069751
753905.288391,1070944
753905.305402,1072059
753905.324994,1073342
753905.343690,1074568
753905.361642,1075744
753905.379389,1076907
753905.399040,1078195
753905.418905,1079497
753905.438769,1080799
753905.458561,1082096
753905.465105,1082525
753905.480921,1083561
753905.499755,1084795
753905.517391,1085951
753905.535947,1087167
753905.554026,1088352
753905.572329,1089552
753905.578678,1089968
753905.595360,1091061
753905.614364,1092306
753905.633615,1093568
753905.652542,1094808
753905.670930,1096013
753905.689511,1097231
753905.707448,1098407
753905.727117,1099696
753905.744011,1100803
753905.762024,1101983
753905.779295,1103115
753905.797747,1104324
753905.816245,1105537
753905.835820,1106819
753905.852576,1107918
753905.870643,1109102
753905.890294,1110389
753905.896589,1110802
753905.911936,1111808
753905.928081,1112866
753905.943201,1113857
753905.959479,1114923
753905.979125,1116211
753905.996004,1117317
753906.014902,1118556
753906.032614,1119716
753906.043102,1120404
753906.059941,1121507
753906.079039,1122759
753906.096019,1123872
753906.111188,1124866
753906.128178,1125979
753906.145763,1127132
753906.164444,1128356
753906.183859,1129628
753906.202114,1130825
753906.221841,1132117
753906.240957,1133370
753906.260193,1134631
753906.279401,1135890
753906.297038,1137045
753906.315463,1138253
753906.334628,1139509
753906.353979,1140777
753906.371884,1141950
753906.389147,1143082
753906.406897,1144245
753906.428291,1145647
753906.450798,1147122
753906.472382,1148537
753906.492109,1149829
753906.511820,1151121
753906.530762,1152362
753906.548950,1153554
753906.566386,1154697
753906.583493,1155818
753906.595090,1156578
753906.615184,1157895
753906.634637,1159170
753906.647190,1159993
753906.663253,1161045
753906.680570,1162180
753906.699901,1163447
753906.718738,1164681
753906.737314,1165899
753906.756697,1167169
753906.775268,1168386
753906.793203,1169562
753906.809948,1170659
753906.817146,1171131
753906.833178,1172181
753906.852253,1173431
753906.867226,1174413
753906.884387,1175537
753906.901974,1176690
753906.919891,1177864
753906.931187,1178604
753906.947498,1179673
753906.967254,1180968
753906.986859,1182253
753907.004805,1183429
753907.022697,1184601
753907.041470,1185832
753907.060145,1187056
753907.078319,1188247
753907.096631,1189447
753907.116321,1190737
753907.135051,1191965
753907.153561,1193178
753907.172876,1194443
753907.193503,1195795
753907.213416,1197100
753907.233428,1198412
753907.253478,1199726
753907.274023,1201072
753907.292281,1202269
753907.311266,1203513
753907.329933,1204736
753907.347851,1205910
753907.366911,1207160
753907.384421,1208307
753907.403162,1209535
753907.421209,1210718
753907.438903,1211878
753907.458078,1213134
753907.467196,1213732
753907.487251,1215046
753907.507997,1216406
753907.526398,1217611
753907.544223,1218780
753907.562260,1219962
753907.581119,1221198
753907.600069,1222440
753907.620602,1223785
753907.639470,1225022
753907.657937,1226232
753907.676016,1227417
753907.693340,1228552
753907.711576,1229747
753907.730290,1230974
753907.749326,1232221
753907.767919,1233440
753907.787668,1234734
753907.806403,1235962
753907.850189,1238831
753907.874435,1240420
753907.894066,1241707
753907.911796,1242869
753907.929594,1244035
753907.939225,1244666
753907.955246,1245716
753907.974194,1246958
753907.991815,1248113
753908.011430,1249398
753908.031785,1250732
753908.050536,1251961
753908.070247,1253253
753908.088185,1254428
753908.107925,1255722
753908.126955,1256969
753908.144918,1258146
753908.165074,1259467
753908.183603,1260681
753908.201599,1261861
753908.219739,1263050
753908.237143,1264190
753908.255905,1265420
753908.273964,1266603
753908.292255,1267802
753908.310269,1268982
753908.323504,1269850
753908.341167,1271007
753908.360305,1272262
753908.378479,1273453
753908.397298,1274686
753908.416252,1275928
753908.438778,1277404
753908.459014,1278730
753908.480708,1280152
753908.500064,1281421
753908.524151,1282999
753908.542445,1284198
753908.561404,1285441
753908.581159,1286735
753908.600986,1288035
753908.620197,1289294
753908.640694,1290637
753908.659930,1291898
753908.678304,1293102
753908.696249,1294278
753908.714489,1295473
753908.723228,1296046
753908.743381,1297366
753908.763398,1298678
753908.782768,1299948
753908.791325,1300508
753908.808084,1301607
753908.827379,1302871
753908.845223,1304041
753908.859283,1304962
753908.875351,1306015
753908.893723,1307219
753908.911554,1308388
753908.927257,1309417
753908.943575,1310486
753908.959546,1311533
753908.976284,1312630
753908.992349,1313683
753909.010967,1314903
753909.028359,1316043
753909.043177,1317014
753909.061765,1318232
753909.080657,1319470
753909.099484,1320704
753909.119434,1322011
753909.137639,1323204
753909.156919,1324468
753909.175685,1325698
753909.194847,1326953
753909.213218,1328157
753909.231811,1329376
753909.250922,1330628
753909.270577,1331916
753909.290947,1333251
753909.308691,1334414
753909.327541,1335649
753909.344752,1336777
753909.363456,1338003
753909.383593,1339323
753909.401668,1340507
753909.421269,1341792
753909.439033,1342956
753909.447329,1343500
753909.463684,1344572
753909.480897,1345700
753909.498611,1346860
753909.511215,1347686
753909.531172,1348994
753909.550299,1350248
753909.567959,1351405
753909.579210,1352143
753909.596160,1353253
753909.611307,1354246
753909.631300,1355556
753909.651354,1356870
753909.670255,1358109
753909.688388,1359298
753909.706791,1360504
753909.725817,1361750
753909.732164,1362166
753909.748078,1363209
753909.767596,1364488
753909.788111,1365833
753909.807716,1367118
753909.826463,1368346
753909.844198,1369509
753909.862590,1370714
753909.881084,1371926
753909.901153,1373241
753909.937238,1375606
753909.956189,1376848
753909.975867,1378137
753909.995482,1379423
753910.015701,1380748
753910.039112,1382282
753910.060628,1383692
753910.082824,1385147
753910.104341,1386557
753910.125682,1387956
753910.144925,1389217
753910.166532,1390633
753910.187821,1392028
753910.207947,1393347
753910.228645,1394703
753910.248050,1395975
753910.269849,1397404
753910.289460,1398689
753910.309473,1400000
753910.326899,1401142
753910.344386,1402288
753910.364465,1403604
753910.386341,1405038
753910.407568,1406429
753910.428405,1407795
753910.450422,1409237
753910.470721,1410568
753910.493849,1412083
753910.512234,1413288
753910.533416,1414676
753910.587591,1418227
753910.618044,1420223
753910.640945,1421723
753910.662181,1423115
753910.681505,1424381
753910.699883,1425586
753910.718222,1426788
753910.737353,1428041
753910.758139,1429404
753910.782733,1431015
753910.802179,1432290
753910.825617,1433826
753910.845032,1435098
753910.864449,1436371
753910.885327,1437739
753910.909765,1439340
753910.936266,1441077
753910.956647,1442413
753910.976173,1443692
753910.999119,1445196
753911.022066,1446700
753911.044601,1448177
753911.064864,1449505
753911.085010,1450825
753911.106192,1452213
753911.125980,1453510
753911.144764,1454741
753911.165808,1456120
753911.188491,1457607
753911.211935,1459143
753911.231983,1460457
753911.253007,1461835
753911.277318,1463428
753911.303049,1465114
753911.326604,1466658
753911.348498,1468093
753911.372491,1469665
